iter	Passed	Remaining
410	4399	6304
411	4411	6296
412	4423	6287
413	4436	6279
414	4448	6270
415	4460	6262
416	4473	6253
417	4485	6245
418	4498	6237
419	4510	6228
420	4522	6220
421	4534	6211
422	4547	6203
423	4560	6194
424	4572	6186
425	4585	6178
426	4598	6170
427	4610	6161
428	4622	6153
429	4635	6145
430	4648	6136
431	4661	6129
432	4674	6120
433	4686	6112
434	4699	6103
435	4712	6095
436	4725	6088
437	4737	6078
438	4750	6070
439	4763	6062
440	4775	6053
441	4788	6044
442	4800	6036
443	4813	6028
444	4826	6019
445	4838	6010
446	4851	6001
447	4864	5993
448	4877	5985
449	4889	5975
450	4901	5966
451	4914	5958
452	4927	5950
453	4939	5940
454	4952	5931
455	4964	5922
456	4977	5913
457	4990	5905
458	5003	5897
459	5016	5888
460	5029	5880
461	5042	5871
462	5054	5862
463	5067	5853
464	5080	5845
465	5093	5836
466	5105	5826
467	5117	5817
468	5130	5808
469	5142	5799
470	5155	5790
471	5168	5782
472	5181	5773
473	5194	5763
474	5206	5754
475	5220	5746
476	5232	5737
477	5246	5729
478	5261	5723
479	5276	5716
480	5290	5708
481	5304	5701
482	5319	5693
483	5336	5688
484	5350	5681
485	5362	5671
486	5374	5661
487	5387	5652
488	5400	5643
489	5412	5633
490	5425	5624
491	5437	5614
492	5450	5605
493	5462	5595
494	5474	5585
495	5487	5575
496	5499	5565
497	5511	5555
498	5523	5545
499	5535	5535
500	5548	5526
501	5561	5517
502	5574	5508
503	5587	5498
504	5599	5489
505	5612	5479
506	5625	5470
507	5638	5460
508	5651	5451
509	5663	5441
510	5676	5432
511	5689	5422
512	5701	5412
513	5714	5403
514	5726	5393
515	5739	5383
516	5751	5373
517	5764	5364
518	5776	5353
519	5789	5343
520	5801	5334
521	5813	5323
522	5826	5313
523	5838	5303
524	5851	5294
525	5863	5284
526	5876	5274
527	5888	5264
528	5901	5254
529	5913	5244
530	5926	5234
531	5939	5225
532	5952	5215
533	5964	5205
534	5978	5196
535	5991	5186
536	6003	5176
537	6016	5166
538	6029	5157
539	6042	5147
540	6055	5137
541	6067	5127
542	6080	5117
543	6092	5106
544	6105	5097
545	6117	5086
546	6130	5076
547	6142	5066
548	6154	5055
549	6167	5045
550	6180	5036
551	6193	5026
552	6206	5016
553	6218	5005
554	6230	4995
555	6243	4985
556	6256	4975
557	6268	4965
558	6281	4955
559	6294	4945
560	6306	4934
561	6318	4924
562	6331	4914
563	6344	4904
564	6356	4894
565	6368	4883
566	6381	4873
567	6393	4862
568	6405	4852
569	6419	4842
570	6431	4832
571	6443	4821
572	6456	4811
573	6469	4801
574	6481	4790
575	6493	4780
576	6506	4769
577	6519	4759
578	6531	4749
579	6544	4739
580	6556	4728
581	6568	4717
582	6580	4706
583	6593	4696
584	6605	4686
585	6618	4675
586	6630	4665
587	6643	4655
588	6657	4645
589	6670	4635
590	6682	4624
591	6695	4614
592	6707	4603
593	6720	4593
594	6732	4582
595	6744	4571
596	6757	4561
597	6769	4550
598	6781	4539
599	6793	4528
600	6806	4518
601	6819	4508
602	6832	4498
603	6845	4487
604	6857	4477
605	6870	4466
606	6883	4456
607	6896	4446
608	6909	4435
609	6922	4425
610	6933	4414
611	6945	4403
612	6958	4393
613	6972	4383
614	6985	4373
615	6998	4362
616	7010	4351
617	7022	4340
618	7035	4330
619	7048	4319
620	7060	4309
621	7073	4298
622	7086	4288
623	7099	4277
624	7112	4267
625	7124	4256
626	7137	4245
627	7149	4234
628	7162	4224
629	7175	4213
630	7187	4203
631	7200	4192
632	7211	4181
633	7224	4170
634	7236	4159
635	7249	4149
636	7262	4138
637	7274	4127
638	7287	4116
639	7298	4105
640	7310	4094
641	7323	4084
642	7336	4073
643	7347	4061
644	7360	4051
645	7372	4039
646	7384	4028
647	7396	4017
648	7408	4006
649	7421	3996
650	7433	3984
651	7445	3974
652	7458	3963
653	7470	3952
654	7482	3941
655	7495	3930
656	7507	3919
657	7519	3908
658	7531	3897
659	7544	3886
660	7556	3875
661	7569	3864
662	7581	3853
663	7594	3843
664	7606	3832
665	7619	3821
666	7632	3810
667	7644	3799
668	7656	3788
669	7668	3777
670	7681	3766
671	7693	3755
672	7705	3744
673	7718	3733
674	7731	3722
675	7743	3711
676	7756	3700
677	7769	3689
678	7781	3678
679	7793	3667
680	7807	3657
681	7819	3646
682	7832	3635
683	7845	3624
684	7858	3613
685	7870	3602
686	7884	3592
687	7897	3581
688	7909	3570
689	7921	3558
690	7933	3547
691	7946	3536
692	7958	3525
693	7971	3515
694	7985	3504
695	7997	3493
696	8009	3482
697	8022	3471
698	8035	3460
699	8047	3448
700	8059	3437
701	8072	3426
702	8085	3415
703	8098	3404
704	8110	3393
705	8122	3382
706	8135	3371
707	8147	3360
708	8158	3348
709	8171	3337
710	8184	3326
711	8196	3315
712	8208	3304
713	8221	3293
714	8233	3281
715	8246	3271
716	8259	3259
717	8271	3248
718	8284	3237
719	8297	3226
720	8308	3215
721	8321	3204
722	8334	3192
723	8347	3182
724	8359	3170
725	8372	3159
726	8385	3148
727	8397	3137
728	8410	3126
729	8423	3115
730	8436	3104
731	8448	3093
732	8461	3082
733	8474	3071
734	8486	3059
735	8500	3048
736	8512	3037
737	8524	3026
738	8537	3015
739	8549	3003
740	8562	2992
741	8574	2981
742	8587	2970
743	8599	2959
744	8612	2947
745	8624	2936
746	8637	2925
747	8650	2914
748	8662	2902
749	8674	2891
750	8686	2880
751	8698	2868
752	8711	2857
753	8724	2846
754	8736	2835
755	8748	2823
756	8761	2812
757	8773	2801
758	8785	2789
759	8798	2778
760	8810	2766
761	8822	2755
762	8834	2744
763	8847	2733
764	8861	2722
765	8873	2710
766	8885	2699
767	8898	2687
768	8910	2676
769	8923	2665
770	8935	2653
771	8948	2642
772	8961	2631
773	8973	2620
774	8985	2608
775	8998	2597
776	9010	2586
777	9022	2574
778	9035	2563
779	9047	2551
780	9060	2540
781	9072	2529
782	9085	2517
783	9098	2506
784	9111	2495
785	9123	2484
786	9136	2472
787	9148	2461
788	9161	2450
789	9174	2438
790	9187	2427
791	9199	2415
792	9211	2404
793	9224	2393
794	9237	2381
795	9249	2370
796	9262	2359
797	9274	2347
798	9286	2336
799	9298	2324
800	9311	2313
801	9324	2302
802	9336	2290
803	9349	2279
804	9361	2267
805	9374	2256
806	9386	2244
807	9399	2233
808	9411	2222
809	9423	2210
810	9435	2198
811	9448	2187
812	9461	2176
813	9473	2164
814	9486	2153
815	9499	2141
816	9511	2130
817	9524	2119
818	9536	2107
819	9549	2096
820	9561	2084
821	9574	2073
822	9587	2061
823	9599	2050
824	9612	2038
825	9624	2027
826	9637	2016
827	9649	2004
828	9662	1993
829	9674	1981
830	9687	1970
831	9699	1958
832	9712	1947
833	9725	1935
834	9738	1924
835	9751	1912
836	9763	1901
837	9776	1889
838	9788	1878
839	9800	1866
840	9812	1855
841	9825	1843
842	9837	1832
843	9850	1820
844	9862	1809
845	9875	1797
846	9887	1786
847	9900	1774
848	9911	1762
849	9924	1751
850	9937	1739
851	9949	1728
852	9962	1716
853	9975	1705
854	9987	1693
855	10000	1682
856	10012	1670
857	10026	1659
858	10037	1647
859	10050	1636
860	10063	1624
861	10075	1613
862	10088	1601
863	10100	1589
864	10113	1578
865	10126	1566
866	10138	1555
867	10151	1543
868	10163	1532
869	10176	1520
870	10189	1509
871	10201	1497
872	10213	1485
873	10226	1474
874	10239	1462
875	10251	1451
876	10263	1439
877	10275	1427
878	10287	1416
879	10300	1404
880	10312	1392
881	10325	1381
882	10338	1369
883	10350	1358
884	10362	1346
885	10375	1334
886	10387	1323
887	10399	1311
888	10412	1300
889	10425	1288
890	10437	1276
891	10450	1265
892	10462	1253
893	10475	1242
894	10487	1230
895	10499	1218
896	10512	1207
897	10525	1195
898	10538	1183
899	10550	1172
900	10563	1160
901	10575	1149
902	10587	1137
903	10599	1125
904	10612	1114
905	10624	1102
906	10637	1090
907	10650	1079
908	10662	1067
909	10675	1055
910	10687	1044
911	10700	1032
912	10713	1020
913	10725	1009
914	10738	997
915	10750	985
916	10764	974
917	10776	962
918	10788	950
919	10800	939
920	10812	927
921	10825	915
922	10838	904
923	10850	892
924	10863	880
925	10875	869
926	10888	857
927	10901	845
928	10913	834
929	10926	822
930	10938	810
931	10950	798
932	10962	787
933	10975	775
934	10988	763
935	11001	752
936	11013	740
937	11027	728
938	11039	717
939	11052	705
940	11064	693
941	11076	681
942	11090	670
943	11102	658
944	11115	646
945	11127	635
946	11140	623
947	11152	611
948	11164	599
949	11177	588
950	11189	576
951	11201	564
952	11213	553
953	11226	541
954	11239	529
955	11251	517
956	11264	506
957	11276	494
958	11289	482
959	11301	470
960	11313	459
961	11326	447
962	11338	435
963	11351	423
964	11364	412
965	11377	400
966	11390	388
967	11402	376
968	11414	365
969	11427	353
970	11440	341
971	11453	329
972	11466	318
973	11478	306
974	11490	294
975	11503	282
976	11516	271
977	11528	259
978	11541	247
979	11553	235
980	11565	223
981	11577	212
982	11589	200
983	11601	188
984	11612	176
985	11624	165
986	11636	153
987	11649	141
988	11661	129
989	11674	117
990	11687	106
991	11701	94
992	11714	82
993	11726	70
994	11739	58
995	11751	47
996	11764	35
997	11777	23
998	11789	11
999	11802	0
